COL1 COL2 COL3 COL4 COL5 COL6 COL7 COL8
Empoyee Number: 000152 FAILED SWIPE 12/18/2018 7:08:02 AM
Empoyee Number: 010573 FAILED SWIPE 12/18/2018 7:08:25 AM
Empoyee Number: 011060 FAILED SWIPE 12/18/2018 7:08:56 AM
Empoyee Number: 000467 FAILED SWIPE 12/18/2018 7:09:08 AM
Empoyee Number: 0111245 FAILED SWIPE 12/18/2018 7:09:12 AM
Empoyee Number: 010920 FAILED SWIPE 12/18/2018 7:09:20 AM
Empoyee Number: 010260 FAILED SWIPE 12/18/2018 7:10:12 AM
Empoyee Number: 000852 FAILED SWIPE 12/18/2018 7:10:18 AM
Empoyee Number: 010763 FAILED SWIPE 12/18/2018 7:10:24 AM
Empoyee Number: 000517 FAILED SWIPE 12/18/2018 7:10:38 AM
Empoyee Number: 000824 FAILED SWIPE 12/18/2018 7:10:40 AM
Empoyee Number: 010533 FAILED SWIPE 12/18/2018 7:11:02 AM
Empoyee Number: 011014 FAILED SWIPE 12/18/2018 7:11:14 AM
Empoyee Number: 010823 FAILED SWIPE 12/18/2018 7:11:18 AM
Empoyee Number: 011192 FAILED SWIPE 12/18/2018 7:11:47 AM
Empoyee Number: 010876 FAILED SWIPE 12/18/2018 7:12:09 AM
Empoyee Number: 010884 FAILED SWIPE 12/18/2018 7:12:17 AM
Empoyee Number: 010844 FAILED SWIPE 12/18/2018 7:12:21 AM
Empoyee Number: 0111354 FAILED SWIPE 12/18/2018 7:12:28 AM
Empoyee Number: 000927 FAILED SWIPE 12/18/2018 7:12:49 AM
Empoyee Number: 000821 FAILED SWIPE 12/18/2018 7:13:09 AM
Empoyee Number: 010893 FAILED SWIPE 12/18/2018 7:13:11 AM
Empoyee Number: 010245 FAILED SWIPE 12/18/2018 7:13:15 AM
Empoyee Number: 010239 FAILED SWIPE 12/18/2018 7:13:19 AM
Empoyee Number: 000531 FAILED SWIPE 12/18/2018 7:13:40 AM
Empoyee Number: 0111260 FAILED SWIPE 12/18/2018 7:13:45 AM
Empoyee Number: 010443 FAILED SWIPE 12/18/2018 7:13:49 AM
Empoyee Number: 010764 FAILED SWIPE 12/18/2018 7:13:54 AM
Empoyee Number: 0111212 FAILED SWIPE 12/18/2018 7:14:15 AM
Empoyee Number: 010569 FAILED SWIPE 12/18/2018 7:14:25 AM
Empoyee Number: 000753 FAILED SWIPE 12/18/2018 7:14:33 AM
Empoyee Number: 000042 FAILED SWIPE 12/18/2018 7:14:47 AM
Empoyee Number: 000682 FAILED SWIPE 12/18/2018 7:15:06 AM
Empoyee Number: 010248 FAILED SWIPE 12/18/2018 7:15:18 AM
Empoyee Number: 000534 FAILED SWIPE 12/18/2018 7:15:57 AM
Empoyee Number: 010456 FAILED SWIPE 12/18/2018 7:16:06 AM
Empoyee Number: 010740 FAILED SWIPE 12/18/2018 7:16:19 AM
Empoyee Number: 010611 FAILED SWIPE 12/18/2018 7:17:42 AM
Empoyee Number: 011080 FAILED SWIPE 12/18/2018 7:17:51 AM
