COLUMN1 COLUMN2 EMPLOYEEID DATE TIME COLUMN6
Empoyee Number: 0111325 11/5/2018 12:42:21 PM
Empoyee Number: 011027 11/5/2018 12:42:23 PM
Empoyee Number: 0111316 11/5/2018 12:42:25 PM
Empoyee Number: 0111352 11/5/2018 12:42:27 PM
Empoyee Number: 011161 11/5/2018 12:42:29 PM
Empoyee Number: 000419 11/5/2018 12:42:31 PM
Empoyee Number: 010561 11/5/2018 12:42:33 PM
Empoyee Number: 010612 11/5/2018 12:42:35 PM
Empoyee Number: 011145 11/5/2018 12:42:38 PM
Empoyee Number: 000402 11/5/2018 12:42:39 PM
Empoyee Number: 0111270 11/5/2018 12:42:41 PM
Empoyee Number: 001024 11/5/2018 12:42:43 PM
Empoyee Number: 010526 11/5/2018 12:42:45 PM
Empoyee Number: 010893 11/5/2018 12:42:46 PM
Empoyee Number: 010804 11/5/2018 12:42:47 PM
Empoyee Number: 010484 11/5/2018 12:42:49 PM
Empoyee Number: 011065 11/5/2018 12:42:50 PM
Empoyee Number: 0111242 11/5/2018 12:42:52 PM
Empoyee Number: 010410 11/5/2018 12:42:55 PM
Empoyee Number: 010376 11/5/2018 12:42:58 PM
Empoyee Number: 011005 11/5/2018 12:43:00 PM
Empoyee Number: 0111283 11/5/2018 12:43:01 PM
Empoyee Number: 0111288 11/5/2018 12:43:04 PM
Empoyee Number: 011060 11/5/2018 12:43:07 PM
Empoyee Number: 0111343 11/5/2018 12:43:13 PM
Empoyee Number: 0111337 11/5/2018 12:43:17 PM
Empoyee Number: 0111259 11/5/2018 12:43:23 PM
Empoyee Number: 000534 11/5/2018 12:43:26 PM
Empoyee Number: 0111344 11/5/2018 12:43:34 PM
Empoyee Number: 010368 11/5/2018 12:43:38 PM
Empoyee Number: 000043 11/5/2018 12:43:41 PM
Empoyee Number: 0111212 11/5/2018 12:43:44 PM
Empoyee Number: 000533 11/5/2018 12:43:47 PM
Empoyee Number: 001062 11/5/2018 12:43:50 PM
Empoyee Number: 0111240 11/5/2018 12:43:51 PM
Empoyee Number: 0111219 11/5/2018 12:43:57 PM
Empoyee Number: 010141 11/5/2018 12:44:05 PM
Empoyee Number: 011083 11/5/2018 12:44:07 PM
Empoyee Number: 0111252 11/5/2018 12:44:12 PM
Empoyee Number: 011170 11/5/2018 12:44:15 PM
Empoyee Number: 011043 11/5/2018 12:44:18 PM
Empoyee Number: 0111208 11/5/2018 12:44:20 PM
Empoyee Number: 000810 11/5/2018 12:44:23 PM
Empoyee Number: 000678 11/5/2018 12:44:46 PM
Empoyee Number: 0111318 11/5/2018 12:44:54 PM
Empoyee Number: 0111257 11/5/2018 12:45:00 PM
Empoyee Number: 0111340 11/5/2018 12:45:01 PM
Empoyee Number: 0111277 11/5/2018 12:45:05 PM
Empoyee Number: 010964 11/5/2018 12:45:07 PM
Empoyee Number: 0111351 11/5/2018 12:45:09 PM
Empoyee Number: 0111215 11/5/2018 12:45:11 PM
Empoyee Number: 011142 11/5/2018 12:45:14 PM
Empoyee Number: 011097 11/5/2018 12:45:16 PM
Empoyee Number: 010273 11/5/2018 12:45:21 PM
Empoyee Number: 010385 11/5/2018 12:45:24 PM
Empoyee Number: 000936 11/5/2018 12:45:35 PM
Empoyee Number: 010892 11/5/2018 12:45:36 PM
Empoyee Number: 011194 11/5/2018 12:45:40 PM
Empoyee Number: 011158 11/5/2018 12:45:41 PM
Empoyee Number: 0111320 11/5/2018 12:45:44 PM
Empoyee Number: 0111260 11/5/2018 12:45:46 PM
Empoyee Number: 010443 11/5/2018 12:45:54 PM
Empoyee Number: 011174 11/5/2018 12:46:04 PM
Empoyee Number: 000411 11/5/2018 12:46:11 PM
Empoyee Number: 010572 11/5/2018 12:46:20 PM
Empoyee Number: 010749 11/5/2018 12:46:23 PM
Empoyee Number: 0111276 11/5/2018 12:46:54 PM
Empoyee Number: 011169 11/5/2018 12:47:02 PM
Empoyee Number: 010887 11/5/2018 12:47:06 PM
Empoyee Number: 000792 11/5/2018 12:47:14 PM
Empoyee Number: 000152 11/5/2018 12:47:21 PM
Empoyee Number: 010324 11/5/2018 12:47:38 PM
Empoyee Number: 010456 11/5/2018 12:47:44 PM
Empoyee Number: 010414 11/5/2018 12:47:49 PM
Empoyee Number: 000587 11/5/2018 12:47:51 PM
Empoyee Number: 010226 11/5/2018 12:47:53 PM
Empoyee Number: 011002 11/5/2018 12:47:55 PM
Empoyee Number: 011079 11/5/2018 12:47:59 PM
Empoyee Number: 010455 11/5/2018 12:48:04 PM
Empoyee Number: 0111309 11/5/2018 12:48:05 PM
Empoyee Number: 011006 11/5/2018 12:48:08 PM
Empoyee Number: 0111256 11/5/2018 12:48:17 PM
Empoyee Number: 000511 11/5/2018 12:48:36 PM
Empoyee Number: 010412 11/5/2018 12:48:37 PM
Empoyee Number: 0111324 11/5/2018 12:48:59 PM
Empoyee Number: 000453 11/5/2018 12:49:18 PM
Empoyee Number: 0111244 11/5/2018 12:49:39 PM
Empoyee Number: 0111339 11/5/2018 12:49:45 PM
Empoyee Number: 010176 11/5/2018 12:49:52 PM
Empoyee Number: 0111345 11/5/2018 12:49:54 PM
Empoyee Number: 0111263 11/5/2018 12:49:57 PM
Empoyee Number: 000478 11/5/2018 12:50:03 PM
Empoyee Number: 010657 11/5/2018 12:50:08 PM
Empoyee Number: 011154 11/5/2018 12:50:16 PM
Empoyee Number: 010717 11/5/2018 12:50:25 PM
Empoyee Number: 010868 11/5/2018 12:50:29 PM
Empoyee Number: 010605 11/5/2018 12:50:45 PM
Empoyee Number: 000123 11/5/2018 12:50:51 PM
Empoyee Number: 010842 11/5/2018 12:50:53 PM
Empoyee Number: 0111329 11/5/2018 12:50:59 PM
Empoyee Number: 000422 11/5/2018 12:51:01 PM
Empoyee Number: 0111331 11/5/2018 12:51:03 PM
Empoyee Number: 000698 11/5/2018 12:51:06 PM
Empoyee Number: 0111323 11/5/2018 12:51:09 PM
Empoyee Number: 010157 11/5/2018 12:51:19 PM
Empoyee Number: 011087 11/5/2018 12:51:21 PM
Empoyee Number: 0111333 11/5/2018 12:51:23 PM
Empoyee Number: 011122 11/5/2018 12:51:25 PM
Empoyee Number: 010589 11/5/2018 12:51:36 PM
Empoyee Number: 000571 11/5/2018 12:51:38 PM
Empoyee Number: 0111254 11/5/2018 12:51:40 PM
Empoyee Number: 010598 11/5/2018 12:51:53 PM
Empoyee Number: 0111312 11/5/2018 12:51:56 PM
Empoyee Number: 011175 11/5/2018 12:52:00 PM
Empoyee Number: 010671 11/5/2018 12:52:08 PM
Empoyee Number: 010233 11/5/2018 12:52:09 PM
Empoyee Number: 010990 11/5/2018 12:52:12 PM
Empoyee Number: 010422 11/5/2018 12:52:14 PM
Empoyee Number: 000624 11/5/2018 12:52:17 PM
Empoyee Number: 010206 11/5/2018 12:52:18 PM
Empoyee Number: 000770 11/5/2018 12:52:24 PM
Empoyee Number: 010159 11/5/2018 12:52:29 PM
Empoyee Number: 0111286 11/5/2018 12:52:43 PM
Empoyee Number: 010190 11/5/2018 12:52:46 PM
Empoyee Number: 000125 11/5/2018 12:52:49 PM
Empoyee Number: 0111294 11/5/2018 12:52:52 PM
Empoyee Number: 0111289 11/5/2018 12:52:59 PM
Empoyee Number: 001041 11/5/2018 12:53:04 PM
Empoyee Number: 000613 11/5/2018 12:53:07 PM
Empoyee Number: 000939 11/5/2018 12:53:16 PM
Empoyee Number: 0111290 11/5/2018 12:53:22 PM
Empoyee Number: 0111301 11/5/2018 12:53:24 PM
Empoyee Number: 0111284 11/5/2018 12:53:37 PM
Empoyee Number: 000166 11/5/2018 12:53:56 PM
Empoyee Number: 0111227 11/5/2018 12:53:57 PM
Empoyee Number: 0111310 11/5/2018 12:54:00 PM
Empoyee Number: 0111274 11/5/2018 12:54:03 PM
Empoyee Number: 010440 11/5/2018 12:54:14 PM
Empoyee Number: 000821 11/5/2018 12:54:17 PM
Empoyee Number: 000800 11/5/2018 12:54:23 PM
Empoyee Number: 000869 11/5/2018 12:54:26 PM
Empoyee Number: 000820 11/5/2018 12:54:29 PM
Empoyee Number: 001087 11/5/2018 12:54:35 PM
Empoyee Number: 010216 11/5/2018 12:54:40 PM
Empoyee Number: 010215 11/5/2018 12:54:48 PM
Empoyee Number: 010943 11/5/2018 12:54:53 PM
Empoyee Number: 001061 11/5/2018 12:54:58 PM
Empoyee Number: 000922 11/5/2018 12:55:02 PM
Empoyee Number: 000575 11/5/2018 12:55:14 PM
Empoyee Number: 000950 11/5/2018 12:55:23 PM
Empoyee Number: 010876 11/5/2018 12:55:33 PM
Empoyee Number: 010830 11/5/2018 12:55:35 PM
Empoyee Number: 010823 11/5/2018 12:55:39 PM
Empoyee Number: 000927 11/5/2018 12:55:43 PM
Empoyee Number: 010248 11/5/2018 12:55:45 PM
Empoyee Number: 000852 11/5/2018 12:55:56 PM
Empoyee Number: 0111255 11/5/2018 12:56:00 PM
Empoyee Number: 0111296 11/5/2018 12:56:07 PM
Empoyee Number: 010743 11/5/2018 12:56:09 PM
Empoyee Number: 0111330 11/5/2018 12:56:13 PM
Empoyee Number: 011192 11/5/2018 12:56:27 PM
Empoyee Number: 000627 11/5/2018 12:56:30 PM
Empoyee Number: 010205 11/5/2018 12:56:34 PM
Empoyee Number: 0111335 11/5/2018 12:56:41 PM
Empoyee Number: 0111334 11/5/2018 12:56:43 PM
Empoyee Number: 010568 11/5/2018 12:56:47 PM
Empoyee Number: 000493 11/5/2018 12:56:58 PM
Empoyee Number: 010106 11/5/2018 12:57:00 PM
Empoyee Number: 000774 11/5/2018 12:57:04 PM
Empoyee Number: 000824 11/5/2018 12:57:06 PM
Empoyee Number: 010371 11/5/2018 12:57:08 PM
Empoyee Number: 000481 11/5/2018 12:57:15 PM
Empoyee Number: 010834 11/5/2018 12:57:19 PM
Empoyee Number: 000815 11/5/2018 12:57:24 PM
Empoyee Number: 010929 11/5/2018 12:57:32 PM
Empoyee Number: 011144 11/5/2018 12:57:36 PM
Empoyee Number: 0111319 11/5/2018 12:57:50 PM
Empoyee Number: 0111349 11/5/2018 12:57:54 PM
Empoyee Number: 010932 11/5/2018 12:58:00 PM
Empoyee Number: 000421 11/5/2018 12:58:03 PM
Empoyee Number: 010896 11/5/2018 12:58:06 PM
Empoyee Number: 001017 11/5/2018 12:58:09 PM
Empoyee Number: 001017 11/5/2018 12:58:10 PM
Empoyee Number: 010947 11/5/2018 12:58:20 PM
Empoyee Number: 011070 11/5/2018 12:58:32 PM
Empoyee Number: 001077 11/5/2018 12:58:42 PM
Empoyee Number: 010406 11/5/2018 12:58:44 PM
Empoyee Number: 010165 11/5/2018 12:58:49 PM
Empoyee Number: 010828 11/5/2018 12:58:52 PM
Empoyee Number: 0111206 11/5/2018 12:58:58 PM
Empoyee Number: 0111207 11/5/2018 12:59:01 PM
Empoyee Number: 010448 11/5/2018 12:59:05 PM
Empoyee Number: 000695 11/5/2018 12:59:08 PM
Empoyee Number: 0111241 11/5/2018 12:59:11 PM
Empoyee Number: 011152 11/5/2018 12:59:14 PM
Empoyee Number: 0111298 11/5/2018 12:59:16 PM
Empoyee Number: 000042 11/5/2018 12:59:42 PM
Empoyee Number: 000576 11/5/2018 12:59:52 PM
Empoyee Number: 0111315 11/5/2018 12:59:53 PM
Empoyee Number: 000682 11/5/2018 12:59:57 PM
Empoyee Number: 010142 11/5/2018 1:00:12 PM
Empoyee Number: 000020 11/5/2018 1:00:47 PM
Empoyee Number: 010144 11/5/2018 1:02:02 PM
Empoyee Number: 010491 11/5/2018 1:02:04 PM
Empoyee Number: 001030 11/5/2018 1:02:08 PM
Empoyee Number: 000607 11/5/2018 12:40:20 PM
Empoyee Number: 010772 11/5/2018 12:40:24 PM
Empoyee Number: 000556 11/5/2018 12:40:26 PM
Empoyee Number: 010266 11/5/2018 12:40:36 PM
Empoyee Number: 000819 11/5/2018 12:40:39 PM
Empoyee Number: 000579 11/5/2018 12:40:47 PM
Empoyee Number: 010547 11/5/2018 12:40:48 PM
Empoyee Number: 0111248 11/5/2018 12:40:52 PM
Empoyee Number: 0111353 11/5/2018 12:41:05 PM
Empoyee Number: 0111350 11/5/2018 12:41:10 PM
Empoyee Number: 011091 11/5/2018 12:41:14 PM
Empoyee Number: 010138 11/5/2018 12:41:17 PM
Empoyee Number: 011039 11/5/2018 12:41:22 PM
Empoyee Number: 011040 11/5/2018 12:41:24 PM
Empoyee Number: 010103 11/5/2018 12:41:26 PM
Empoyee Number: 011014 11/5/2018 12:41:27 PM
Empoyee Number: 011035 11/5/2018 12:41:29 PM
Empoyee Number: 010734 11/5/2018 12:41:58 PM
Empoyee Number: 011135 11/5/2018 12:42:02 PM
Empoyee Number: 010404 11/5/2018 12:42:05 PM
Empoyee Number: 010610 11/5/2018 12:42:09 PM
Empoyee Number: 000930 11/5/2018 12:42:17 PM
Empoyee Number: 010450 11/5/2018 12:42:21 PM
Empoyee Number: 010310 11/5/2018 12:42:51 PM
Empoyee Number: 0111262 11/5/2018 12:43:01 PM
Empoyee Number: 0111217 11/5/2018 12:43:05 PM
Empoyee Number: 011029 11/5/2018 12:43:10 PM
Empoyee Number: 0111346 11/5/2018 12:43:12 PM
Empoyee Number: 000538 11/5/2018 12:43:17 PM
Empoyee Number: 010139 11/5/2018 12:43:20 PM
Empoyee Number: 010761 11/5/2018 12:43:24 PM
Empoyee Number: 010530 11/5/2018 12:43:30 PM
Empoyee Number: 010972 11/5/2018 12:43:40 PM
Empoyee Number: 010956 11/5/2018 12:43:53 PM
Empoyee Number: 0111348 11/5/2018 12:44:00 PM
Empoyee Number: 0111342 11/5/2018 12:44:10 PM
Empoyee Number: 010535 11/5/2018 12:44:23 PM
Empoyee Number: 010912 11/5/2018 12:44:26 PM
Empoyee Number: 010910 11/5/2018 12:44:30 PM
Empoyee Number: 000713 11/5/2018 12:44:37 PM
Empoyee Number: 000713 11/5/2018 12:44:37 PM
Empoyee Number: 000693 11/5/2018 12:44:41 PM
Empoyee Number: 010619 11/5/2018 12:44:45 PM
Empoyee Number: 010549 11/5/2018 12:44:50 PM
Empoyee Number: 010841 11/5/2018 12:45:06 PM
Empoyee Number: 011134 11/5/2018 12:45:10 PM
Empoyee Number: 010682 11/5/2018 12:45:26 PM
Empoyee Number: 0111299 11/5/2018 12:45:30 PM
Empoyee Number: 000794 11/5/2018 12:45:43 PM
Empoyee Number: 011193 11/5/2018 12:45:45 PM
Empoyee Number: 010577 11/5/2018 12:45:50 PM
Empoyee Number: 000812 11/5/2018 12:45:58 PM
Empoyee Number: 000790 11/5/2018 12:46:04 PM
Empoyee Number: 010531 11/5/2018 12:46:06 PM
Empoyee Number: 010290 11/5/2018 12:46:13 PM
Empoyee Number: 010333 11/5/2018 12:46:15 PM
Empoyee Number: 000812 11/5/2018 12:46:17 PM
Empoyee Number: 010596 11/5/2018 12:46:22 PM
Empoyee Number: 0111249 11/5/2018 12:46:34 PM
Empoyee Number: 010633 11/5/2018 12:46:40 PM
Empoyee Number: 010844 11/5/2018 12:47:09 PM
Empoyee Number: 010764 11/5/2018 12:47:59 PM
Empoyee Number: 010839 11/5/2018 12:48:11 PM
Empoyee Number: 010198 11/5/2018 12:48:32 PM
Empoyee Number: 010449 11/5/2018 12:48:39 PM
Empoyee Number: 010499 11/5/2018 12:48:43 PM
Empoyee Number: 0111222 11/5/2018 12:48:48 PM
Empoyee Number: 000469 11/5/2018 12:49:19 PM
Empoyee Number: 010453 11/5/2018 12:49:27 PM
Empoyee Number: 0111266 11/5/2018 12:49:39 PM
Empoyee Number: 0111264 11/5/2018 12:49:54 PM
Empoyee Number: 010533 11/5/2018 12:49:59 PM
Empoyee Number: 010935 11/5/2018 12:50:03 PM
Empoyee Number: 000323 11/5/2018 12:50:11 PM
Empoyee Number: 0111338 11/5/2018 12:50:20 PM
Empoyee Number: 0111280 11/5/2018 12:50:34 PM
Empoyee Number: 0111347 11/5/2018 12:50:37 PM
Empoyee Number: 010489 11/5/2018 12:50:37 PM
Empoyee Number: 011162 11/5/2018 12:50:56 PM
Empoyee Number: 010909 11/5/2018 12:51:11 PM
Empoyee Number: 010640 11/5/2018 12:51:18 PM
Empoyee Number: 000908 11/5/2018 12:51:24 PM
Empoyee Number: 011128 11/5/2018 12:51:30 PM
Empoyee Number: 011129 11/5/2018 12:51:33 PM
Empoyee Number: 010490 11/5/2018 12:51:42 PM
Empoyee Number: 000638 11/5/2018 12:51:48 PM
Empoyee Number: 010504 11/5/2018 12:51:52 PM
Empoyee Number: 010334 11/5/2018 12:51:58 PM
Empoyee Number: 010719 11/5/2018 12:52:15 PM
Empoyee Number: 000903 11/5/2018 12:52:20 PM
Empoyee Number: 010421 11/5/2018 12:52:29 PM
Empoyee Number: 0111303 11/5/2018 12:52:35 PM
Empoyee Number: 0111295 11/5/2018 12:52:40 PM
Empoyee Number: 010677 11/5/2018 12:52:43 PM
Empoyee Number: 001044 11/5/2018 12:52:55 PM
Empoyee Number: 010901 11/5/2018 12:53:26 PM
Empoyee Number: 010920 11/5/2018 12:53:30 PM
Empoyee Number: 010931 11/5/2018 12:53:48 PM
Empoyee Number: 0111281 11/5/2018 12:53:55 PM
Empoyee Number: 0111282 11/5/2018 12:54:09 PM
Empoyee Number: 0111246 11/5/2018 12:54:13 PM
Empoyee Number: 000517 11/5/2018 12:54:18 PM
Empoyee Number: 010812 11/5/2018 12:54:23 PM
Empoyee Number: 000753 11/5/2018 12:54:33 PM
Empoyee Number: 0111273 11/5/2018 12:54:35 PM
Empoyee Number: 000572 11/5/2018 12:54:38 PM
Empoyee Number: 010383 11/5/2018 12:54:42 PM
Empoyee Number: 000423 11/5/2018 12:54:48 PM
Empoyee Number: 010678 11/5/2018 12:54:54 PM
Empoyee Number: 0111278 11/5/2018 12:54:59 PM
Empoyee Number: 010486 11/5/2018 12:55:00 PM
Empoyee Number: 000969 11/5/2018 12:55:09 PM
Empoyee Number: 010239 11/5/2018 12:55:14 PM
Empoyee Number: 010356 11/5/2018 12:55:21 PM
Empoyee Number: 010835 11/5/2018 12:55:28 PM
Empoyee Number: 010623 11/5/2018 12:55:31 PM
Empoyee Number: 010781 11/5/2018 12:55:47 PM
Empoyee Number: 010884 11/5/2018 12:55:51 PM
Empoyee Number: 011038 11/5/2018 12:55:54 PM
Empoyee Number: 010354 11/5/2018 12:55:58 PM
Empoyee Number: 011133 11/5/2018 12:56:02 PM
Empoyee Number: 011080 11/5/2018 12:56:11 PM
Empoyee Number: 0111272 11/5/2018 12:56:17 PM
Empoyee Number: 0111265 11/5/2018 12:56:21 PM
Empoyee Number: 0111302 11/5/2018 12:56:24 PM
Empoyee Number: 0111218 11/5/2018 12:56:37 PM
Empoyee Number: 010317 11/5/2018 12:56:43 PM
Empoyee Number: 0111221 11/5/2018 12:56:47 PM
Empoyee Number: 000005 11/5/2018 12:56:51 PM
Empoyee Number: 010940 11/5/2018 12:56:57 PM
Empoyee Number: 010581 11/5/2018 12:56:59 PM
Empoyee Number: 010332 11/5/2018 12:57:10 PM
Empoyee Number: 010767 11/5/2018 12:57:20 PM
Empoyee Number: 011008 11/5/2018 12:57:25 PM
Empoyee Number: 010493 11/5/2018 12:57:30 PM
Empoyee Number: 010467 11/5/2018 12:57:36 PM
Empoyee Number: 010785 11/5/2018 12:57:40 PM
Empoyee Number: 010802 11/5/2018 12:57:45 PM
Empoyee Number: 010763 11/5/2018 12:57:56 PM
Empoyee Number: 010907 11/5/2018 12:58:04 PM
Empoyee Number: 010325 11/5/2018 12:58:27 PM
Empoyee Number: 010534 11/5/2018 12:58:33 PM
Empoyee Number: 010300 11/5/2018 12:58:40 PM
Empoyee Number: 000849 11/5/2018 12:59:15 PM
Empoyee Number: 000621 11/5/2018 12:59:22 PM
Empoyee Number: 010256 11/5/2018 12:59:25 PM
Empoyee Number: 010676 11/5/2018 12:59:42 PM
Empoyee Number: 010601 11/5/2018 12:59:47 PM
Empoyee Number: 010611 11/5/2018 12:59:55 PM
Empoyee Number: 010609 11/5/2018 12:59:59 PM
Empoyee Number: 010652 11/5/2018 1:00:04 PM
Empoyee Number: 010527 11/5/2018 1:00:08 PM
Empoyee Number: 010573 11/5/2018 1:00:15 PM
Empoyee Number: 010269 11/5/2018 1:00:19 PM
